,,,,,Score,,,,Team,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
73,73,3/27/11,@,PHO,W,91,83,,32,84,0.381,10,26,0.385,22,58,0.379,0.44,17,21,0.81,16,31,47,20,8,3,15,18,34,80,0.425,1,16,0.063,33,64,0.516,0.431,14,23,0.609,12,34,46,22,6,8,16,22
74,74,3/30/11,@,LAC,W,106,100,,41,85,0.482,9,21,0.429,32,64,0.5,0.535,15,26,0.577,6,25,31,30,11,5,11,19,35,75,0.467,5,24,0.208,30,51,0.588,0.5,25,31,0.806,11,36,47,22,5,5,18,21
75,75,3/31/11,@,LAL,L,82,110,,30,83,0.361,6,26,0.231,24,57,0.421,0.398,16,23,0.696,11,36,47,18,3,4,13,27,38,85,0.447,6,16,0.375,32,69,0.464,0.482,28,39,0.718,12,40,52,23,8,3,7,19
76,76,4/2/11,@,GSW,L,92,99,,37,90,0.411,5,25,0.2,32,65,0.492,0.439,13,20,0.65,11,32,43,25,5,4,14,21,35,78,0.449,7,21,0.333,28,57,0.491,0.494,22,24,0.917,7,36,43,22,4,6,14,21
77,77,4/3/11,@,POR,L,96,104,,34,70,0.486,9,24,0.375,25,46,0.543,0.55,19,26,0.731,5,28,33,21,5,2,13,21,39,73,0.534,5,15,0.333,34,58,0.586,0.568,21,25,0.84,4,28,32,20,10,0,11,20
78,78,4/6/11,,DEN,L,96,104,,39,80,0.488,5,22,0.227,34,58,0.586,0.519,13,20,0.65,15,30,45,20,9,9,17,18,41,86,0.477,8,23,0.348,33,63,0.524,0.523,14,18,0.778,12,28,40,23,9,4,14,17
79,79,4/8/11,,LAC,W,107,96,,43,85,0.506,4,15,0.267,39,70,0.557,0.529,17,28,0.607,15,27,42,25,13,4,18,19,38,76,0.5,6,18,0.333,32,58,0.552,0.539,14,20,0.7,9,27,36,22,12,6,22,23
80,80,4/10/11,,PHO,W,115,90,,45,89,0.506,11,27,0.407,34,62,0.548,0.567,14,18,0.778,18,33,51,29,7,4,14,23,35,82,0.427,2,20,0.1,33,62,0.532,0.439,18,33,0.545,14,23,37,19,5,1,14,18
81,81,4/11/11,@,HOU,W,98,91,OT,38,83,0.458,4,17,0.235,34,66,0.515,0.482,18,20,0.9,6,43,49,21,9,5,20,20,35,96,0.365,8,27,0.296,27,69,0.391,0.406,13,16,0.813,17,35,52,24,11,1,17,19
82,82,4/13/11,,NOH,W,121,89,,40,73,0.548,13,28,0.464,27,45,0.6,0.637,28,34,0.824,6,36,42,32,7,1,14,17,34,79,0.43,6,14,0.429,28,65,0.431,0.468,15,17,0.882,5,30,35,23,7,1,14,28
,,,,,57-25,8220,7873,,3069,6463,0.475,645,1768,0.365,2424,4695,0.516,0.525,1437,1850,0.777,780,2618,3398,1954,557,352,1145,1575,2996,6656,0.45,508,1480,0.343,2488,5176,0.481,0.488,1373,1830,0.75,880,2459,3339,1689,623,303,1114,1650
